unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1.57023E+12,10/5/2019 0:00,LINK/USDT,1.9663,1.9775,1.9113,1.9624,2233660.2,4352706.761,12252
1.57015E+12,10/4/2019 0:00,LINK/USDT,1.9443,1.9949,1.888,1.9663,3422137.61,6616268.436,17892
1.57006E+12,10/3/2019 0:00,LINK/USDT,2.0134,2.0338,1.88,1.9442,7013380.23,13738006.1,32086
1.56997E+12,10/2/2019 0:00,LINK/USDT,1.8285,2.0233,1.8121,2.011,5790547.34,11112247.03,29219
1.56989E+12,10/1/2019 0:00,LINK/USDT,1.7677,1.882,1.7522,1.8286,4084117.04,7423999.323,23205
1.5698E+12,9/30/2019 0:00,LINK/USDT,1.7004,1.769,1.6404,1.7677,3573550.83,6091950.815,17595
1.56972E+12,9/29/2019 0:00,LINK/USDT,1.6748,1.7492,1.6441,1.7002,3307432.07,5630013.418,18956
1.56963E+12,9/28/2019 0:00,LINK/USDT,1.6593,1.7017,1.6284,1.6742,2378769.19,3966341.325,12491
1.56954E+12,9/27/2019 0:00,LINK/USDT,1.6512,1.6786,1.5573,1.659,4337039.06,6997435.263,20123
1.56946E+12,9/26/2019 0:00,LINK/USDT,1.7476,1.7584,1.5276,1.6512,6950205.76,11469705.44,35628
1.56937E+12,9/25/2019 0:00,LINK/USDT,1.7135,1.9286,1.6249,1.7443,8910418.88,15541919.88,47780
1.56928E+12,9/24/2019 0:00,LINK/USDT,1.8034,2.0657,1.4612,1.716,16495451.14,30520015.62,77463
1.5692E+12,9/23/2019 0:00,LINK/USDT,1.8149,1.88,1.7799,1.8048,2670201.16,4898382.212,17268
1.56911E+12,9/22/2019 0:00,LINK/USDT,1.8848,1.8868,1.7711,1.8157,2311848.65,4207056.964,13996
1.56902E+12,9/21/2019 0:00,LINK/USDT,1.8215,1.8888,1.7881,1.8855,2773787.16,5105903.212,16606
1.56894E+12,9/20/2019 0:00,LINK/USDT,1.8743,1.8772,1.751,1.8245,3503491.24,6350663.861,19417
1.56885E+12,9/19/2019 0:00,LINK/USDT,1.7994,1.9075,1.7079,1.8744,8590087.52,15710104.15,51360
1.56876E+12,9/18/2019 0:00,LINK/USDT,1.624,1.8462,1.624,1.801,8269809.73,14349788.11,37964
1.56868E+12,9/17/2019 0:00,LINK/USDT,1.5806,1.6765,1.5532,1.624,5393985.89,8714835.386,21318
1.56859E+12,9/16/2019 0:00,LINK/USDT,1.611,1.6355,1.545,1.5806,3549602.58,5624544.163,13797
1.56851E+12,9/15/2019 0:00,LINK/USDT,1.5634,1.6458,1.56,1.6104,4049102.77,6482781.439,15329
1.56842E+12,9/14/2019 0:00,LINK/USDT,1.5761,1.6375,1.5239,1.5634,5719166.79,9072573.988,22397
