unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1.61335E+12,2/15/2021 2:00,ADA/USDT,0.82154,0.83198,0.6856,0.7789,128034189.7,97399330.55,106742
1.61335E+12,2/15/2021 1:00,ADA/USDT,0.85872,0.86332,0.81867,0.82131,32322308.9,27097180.63,31802
1.61335E+12,2/15/2021 0:00,ADA/USDT,0.84288,0.86574,0.84288,0.85843,18602873.1,15984970.68,15402
1.61334E+12,2/14/2021 23:00,ADA/USDT,0.86533,0.87083,0.842,0.84364,20358757.4,17406234.81,17486
1.61334E+12,2/14/2021 22:00,ADA/USDT,0.87586,0.88183,0.86246,0.86533,16260657.9,14190326.3,15926
1.61334E+12,2/14/2021 21:00,ADA/USDT,0.86839,0.88886,0.8622,0.87533,28259700.3,24828408.49,23702
1.61333E+12,2/14/2021 20:00,ADA/USDT,0.84511,0.86878,0.84052,0.86847,17848265,15306050.27,15006
1.61333E+12,2/14/2021 19:00,ADA/USDT,0.84195,0.85395,0.83667,0.84526,17498421.4,14785639.05,13062
1.61333E+12,2/14/2021 18:00,ADA/USDT,0.83869,0.85116,0.83196,0.84216,18073157,15185726.14,13577
1.61332E+12,2/14/2021 17:00,ADA/USDT,0.85622,0.861,0.8365,0.8388,20998508.1,17828080.54,17261
1.61332E+12,2/14/2021 16:00,ADA/USDT,0.83249,0.86494,0.82557,0.85622,42039265.8,35724233.58,33784
1.61331E+12,2/14/2021 15:00,ADA/USDT,0.829,0.84776,0.8121,0.83298,50762893,42157650.54,41973
1.61331E+12,2/14/2021 14:00,ADA/USDT,0.83867,0.84736,0.80666,0.82902,51633843.6,42769186.35,46737
1.61331E+12,2/14/2021 13:00,ADA/USDT,0.85783,0.865,0.83003,0.83845,37475993.4,31720865.5,35019
1.6133E+12,2/14/2021 12:00,ADA/USDT,0.87289,0.87329,0.85552,0.858,17624148.6,15261439.77,16227
1.6133E+12,2/14/2021 11:00,ADA/USDT,0.86664,0.877,0.84908,0.87266,25562387.2,22097728.13,24611
1.6133E+12,2/14/2021 10:00,ADA/USDT,0.87536,0.87671,0.86395,0.86668,17139797.9,14919777.9,15293
1.61329E+12,2/14/2021 9:00,ADA/USDT,0.87973,0.88132,0.87201,0.8754,11471307.3,10062128.77,10077
1.61329E+12,2/14/2021 8:00,ADA/USDT,0.8761,0.89,0.8761,0.87951,12337648.7,10890792.35,10890
1.61329E+12,2/14/2021 7:00,ADA/USDT,0.88179,0.8843,0.87588,0.8761,9504593.5,8366137.157,8830
1.61328E+12,2/14/2021 6:00,ADA/USDT,0.86632,0.88452,0.86223,0.88194,18115975.5,15856933.98,15427
1.61328E+12,2/14/2021 5:00,ADA/USDT,0.88105,0.88294,0.85988,0.86687,23500093.7,20432040.73,18624
1.61328E+12,2/14/2021 4:00,ADA/USDT,0.87239,0.88755,0.87008,0.88105,11365420.4,9989734.882,11322
1.61327E+12,2/14/2021 3:00,ADA/USDT,0.88952,0.89631,0.8683,0.87239,19165264.3,16916317.94,16370
1.61327E+12,2/14/2021 2:00,ADA/USDT,0.90085,0.90589,0.88804,0.88962,11856594,10626696.65,11427
1.61326E+12,2/14/2021 1:00,ADA/USDT,0.9025,0.90485,0.89536,0.9009,12614107.8,11364490.28,12651
1.61326E+12,2/14/2021 0:00,ADA/USDT,0.91303,0.919,0.89641,0.90253,28028213.6,25469917.82,35783
1.61326E+12,2/13/2021 23:00,ADA/USDT,0.89849,0.91308,0.89839,0.91299,18497668.4,16752626.63,17564
1.61325E+12,2/13/2021 22:00,ADA/USDT,0.8861,0.90106,0.88603,0.89849,11558477.4,10323878.85,12638
1.61325E+12,2/13/2021 21:00,ADA/USDT,0.88761,0.89339,0.8757,0.88647,13969771.7,12342759.55,12930
1.61325E+12,2/13/2021 20:00,ADA/USDT,0.88858,0.88895,0.87639,0.88766,12750184.8,11251377.61,12800
1.61324E+12,2/13/2021 19:00,ADA/USDT,0.876,0.8933,0.87268,0.8882,17611803.2,15610117.38,16442
1.61324E+12,2/13/2021 18:00,ADA/USDT,0.88222,0.88617,0.86636,0.87621,23801394.3,20828154.89,21278
1.61324E+12,2/13/2021 17:00,ADA/USDT,0.89491,0.896,0.874,0.8823,22540650.1,20007538.65,20809
1.61323E+12,2/13/2021 16:00,ADA/USDT,0.89673,0.90817,0.88589,0.89472,25815793.9,23130426.46,24330
1.61323E+12,2/13/2021 15:00,ADA/USDT,0.89425,0.90739,0.89186,0.897,21575814.2,19443251.18,19820
1.61322E+12,2/13/2021 14:00,ADA/USDT,0.89598,0.89686,0.8847,0.8942,18443399.1,16427479.61,16024
1.61322E+12,2/13/2021 13:00,ADA/USDT,0.89511,0.90283,0.88501,0.89609,24666065.8,22033801.1,21996
1.61322E+12,2/13/2021 12:00,ADA/USDT,0.86736,0.909,0.8537,0.89508,46113942.7,41002821.24,49924
1.61321E+12,2/13/2021 11:00,ADA/USDT,0.89092,0.89736,0.82,0.86736,100001147.8,86511136.86,91854
1.61321E+12,2/13/2021 10:00,ADA/USDT,0.91347,0.91354,0.89065,0.89157,28851412.2,26051969.71,28093
1.61321E+12,2/13/2021 9:00,ADA/USDT,0.92,0.92362,0.91292,0.91329,11330095.5,10418018.64,12091
1.6132E+12,2/13/2021 8:00,ADA/USDT,0.90159,0.92356,0.8993,0.92011,19320646.5,17651922.42,20777
1.6132E+12,2/13/2021 7:00,ADA/USDT,0.92018,0.9224,0.901,0.90184,17965431.2,16383879.21,18067
1.6132E+12,2/13/2021 6:00,ADA/USDT,0.9196,0.92262,0.9053,0.92014,21409583.3,19584131.14,20795
1.61319E+12,2/13/2021 5:00,ADA/USDT,0.92996,0.93029,0.914,0.91966,23700853.6,21816559.53,21921
1.61319E+12,2/13/2021 4:00,ADA/USDT,0.93469,0.93531,0.9241,0.92995,14407756,13385805.6,15945
1.61319E+12,2/13/2021 3:00,ADA/USDT,0.9427,0.94362,0.93249,0.93479,11752504.2,11025151.19,13128
1.61318E+12,2/13/2021 2:00,ADA/USDT,0.94758,0.95053,0.93553,0.9427,17429201.6,16436037.38,17772
1.61318E+12,2/13/2021 1:00,ADA/USDT,0.93697,0.95,0.93347,0.94743,23364336.5,22002464.22,23400
1.61317E+12,2/13/2021 0:00,ADA/USDT,0.92418,0.9455,0.92409,0.93694,40000627.3,37500156.8,35796
1.61317E+12,2/12/2021 23:00,ADA/USDT,0.92791,0.93507,0.92037,0.92426,21637007.8,20071546.39,20801
1.61317E+12,2/12/2021 22:00,ADA/USDT,0.91878,0.92929,0.9185,0.92776,16375078.7,15133534.09,17331
1.61316E+12,2/12/2021 21:00,ADA/USDT,0.91449,0.9245,0.90921,0.91878,19863491.9,18234190.13,19581
1.61316E+12,2/12/2021 20:00,ADA/USDT,0.91657,0.91909,0.91105,0.91449,15024955.4,13747753.8,16619
1.61316E+12,2/12/2021 19:00,ADA/USDT,0.92229,0.92496,0.91346,0.91647,15530835.7,14276430.06,16995
1.61315E+12,2/12/2021 18:00,ADA/USDT,0.91718,0.9338,0.9114,0.92243,27630622.8,25562251.63,29215
1.61315E+12,2/12/2021 17:00,ADA/USDT,0.92086,0.92397,0.91282,0.91718,22100961.6,20276810.9,20800
1.61315E+12,2/12/2021 16:00,ADA/USDT,0.91994,0.92999,0.914,0.92086,27265972.8,25123696.77,27722
1.61314E+12,2/12/2021 15:00,ADA/USDT,0.90449,0.9251,0.9025,0.92039,29654337.4,27166950.49,25705
1.61314E+12,2/12/2021 14:00,ADA/USDT,0.94585,0.946,0.89005,0.9045,50552774.8,46246662.86,83699
1.61313E+12,2/12/2021 13:00,ADA/USDT,0.91518,0.94825,0.91518,0.946,37756448,35199574.27,35406
1.61313E+12,2/12/2021 12:00,ADA/USDT,0.91068,0.9156,0.90408,0.91545,18685240.9,16991471.46,19497
1.61313E+12,2/12/2021 11:00,ADA/USDT,0.91895,0.92038,0.90904,0.91068,21229395.2,19427378.59,19508
1.61312E+12,2/12/2021 10:00,ADA/USDT,0.92392,0.92499,0.91406,0.91892,21317707,19595355.57,21768
1.61312E+12,2/12/2021 9:00,ADA/USDT,0.90812,0.92673,0.905,0.92408,29545207.9,27052148.92,26947
1.61312E+12,2/12/2021 8:00,ADA/USDT,0.90573,0.916,0.90005,0.90831,24984468.1,22664178.26,23766
1.61311E+12,2/12/2021 7:00,ADA/USDT,0.90851,0.9095,0.89321,0.90573,20801152.7,18729216.27,21123
1.61311E+12,2/12/2021 6:00,ADA/USDT,0.89835,0.9098,0.88659,0.90846,29439148.8,26371147.04,25700
1.61311E+12,2/12/2021 5:00,ADA/USDT,0.90447,0.91538,0.89717,0.8985,24727800.8,22388087.72,23514
1.6131E+12,2/12/2021 4:00,ADA/USDT,0.88843,0.90548,0.866,0.90494,49200331.1,43577788.24,44510
1.6131E+12,2/12/2021 3:00,ADA/USDT,0.90863,0.90899,0.88712,0.88859,24945379.3,22375155.15,22403
1.6131E+12,2/12/2021 2:00,ADA/USDT,0.91701,0.91701,0.8925,0.90859,29016634.3,26317036.44,28407
1.61309E+12,2/12/2021 1:00,ADA/USDT,0.93678,0.93699,0.88474,0.91729,37878429.2,34675471.83,37835
1.61309E+12,2/12/2021 0:00,ADA/USDT,0.9281,0.94137,0.9153,0.93677,34384421.6,32006923.35,31811
1.61308E+12,2/11/2021 23:00,ADA/USDT,0.94482,0.94482,0.92039,0.92796,30981916.6,28870460.05,30049
1.61308E+12,2/11/2021 22:00,ADA/USDT,0.92107,0.95884,0.9175,0.94468,29276270.4,27565359.45,39052
1.61308E+12,2/11/2021 21:00,ADA/USDT,0.9297,0.94601,0.90196,0.92108,57140799.8,52637398.58,50997
1.61307E+12,2/11/2021 20:00,ADA/USDT,0.95548,0.96597,0.92037,0.92906,40811806.1,38708183.98,45038
1.61307E+12,2/11/2021 19:00,ADA/USDT,0.9732,0.97354,0.95404,0.95548,29608047.9,28511271.29,30212
1.61307E+12,2/11/2021 18:00,ADA/USDT,0.94731,0.97799,0.94717,0.9732,36283768.7,34968284.55,65787
1.61306E+12,2/11/2021 17:00,ADA/USDT,0.9753,0.97539,0.9423,0.94731,51476607.8,49506401.85,98005
1.61306E+12,2/11/2021 16:00,ADA/USDT,0.93618,0.98,0.928,0.97586,94160503.12,90275594.28,79621
1.61306E+12,2/11/2021 15:00,ADA/USDT,0.94055,0.94273,0.92501,0.93661,35882704.1,33503005.52,35095
1.61305E+12,2/11/2021 14:00,ADA/USDT,0.92007,0.94923,0.91775,0.94063,46332863.2,43279556.17,43537
1.61305E+12,2/11/2021 13:00,ADA/USDT,0.90929,0.933,0.89589,0.91997,56573115.4,51806677.47,50952
