https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1617609600000,2021-04-05 08:00:00,XRP/USDT,0.69087000,0.69845000,0.67800000,0.69596000,69694981.30000000,47947094.30988500,43856
1617606000000,2021-04-05 07:00:00,XRP/USDT,0.66781000,0.69389000,0.65877000,0.69084000,99667910.80000000,67646059.12821000,64680
1617602400000,2021-04-05 06:00:00,XRP/USDT,0.68422000,0.69750000,0.66511000,0.66762000,106872712.70000000,72940147.28699500,66217
1617598800000,2021-04-05 05:00:00,XRP/USDT,0.70783000,0.71469000,0.68197000,0.68399000,91454915.40000000,63851101.98602500,64274
1617595200000,2021-04-05 04:00:00,XRP/USDT,0.68127000,0.72616000,0.67760000,0.70763000,127865333.10000000,90088763.43589200,99929
1617591600000,2021-04-05 03:00:00,XRP/USDT,0.68931000,0.69398000,0.67160000,0.68127000,72570277.90000000,49464603.47655400,49229
1617588000000,2021-04-05 02:00:00,XRP/USDT,0.66062000,0.70250000,0.64752000,0.68934000,212688262.40000000,145535997.79245800,171024
1617584400000,2021-04-05 01:00:00,XRP/USDT,0.62108000,0.66198000,0.61940000,0.66093000,97283367.30000000,62619197.24397200,81925
1617580800000,2021-04-05 00:00:00,XRP/USDT,0.63501000,0.63800000,0.62051000,0.62109000,54674859.20000000,34349759.07306500,34706
1617577200000,2021-04-04 23:00:00,XRP/USDT,0.62662000,0.63599000,0.62019000,0.63500000,52301308.00000000,32924674.68450100,32983
1617573600000,2021-04-04 22:00:00,XRP/USDT,0.61657000,0.62726000,0.61061000,0.62659000,35819635.10000000,22219388.06766900,29111
1617570000000,2021-04-04 21:00:00,XRP/USDT,0.60963000,0.61701000,0.60767000,0.61657000,14481761.10000000,8858539.72937000,11970
1617566400000,2021-04-04 20:00:00,XRP/USDT,0.61058000,0.61620000,0.60527000,0.60962000,21590339.80000000,13181859.95398200,19115
1617562800000,2021-04-04 19:00:00,XRP/USDT,0.60912000,0.61099000,0.60340000,0.61057000,20021017.90000000,12152604.65004700,17011
1617559200000,2021-04-04 18:00:00,XRP/USDT,0.61451000,0.61452000,0.60811000,0.60914000,25721331.20000000,15710625.18807800,19087
1617555600000,2021-04-04 17:00:00,XRP/USDT,0.59934000,0.61765000,0.59926000,0.61452000,41024447.00000000,25032386.26941800,33587
1617552000000,2021-04-04 16:00:00,XRP/USDT,0.59923000,0.59996000,0.59652000,0.59934000,25397980.70000000,15200235.25353700,17959
1617548400000,2021-04-04 15:00:00,XRP/USDT,0.60318000,0.60550000,0.59759000,0.59909000,28115573.00000000,16931998.24979700,21120
1617544800000,2021-04-04 14:00:00,XRP/USDT,0.59439000,0.60662000,0.59433000,0.60314000,49256096.10000000,29706636.61925400,30252
1617541200000,2021-04-04 13:00:00,XRP/USDT,0.59275000,0.59777000,0.59216000,0.59439000,27083309.90000000,16099253.68853500,19221
1617537600000,2021-04-04 12:00:00,XRP/USDT,0.58691000,0.59563000,0.58385000,0.59277000,29064071.00000000,17189530.63513400,20476
